ticket,symbol,type,profit,strategy,comment,open_time,close_time
464,GBPNZD,BUY,19.8793000000016,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
465,USDCAD,SELL,-6.915777240677158,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
466,AUDNZD,BUY,-2.4423139999996057,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
467,US30,SELL,-6.9600000000005835,FB_15M_1M,FB|15M_1M|BVRVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
468,US30_x10,SELL,-69.60000000000583,FB_15M_1M,FB|15M_1M|BVRVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
469,USTEC,SELL,-3.988000000000102,FB_4H_5M,FB|4H_5M|BVRVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
470,BTCJPY,BUY,20.116731265731868,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
471,NZDUSD,BUY,-7.800000000000029,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
472,BTCCNH,BUY,189.59711932360366,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
474,BTCUSD,SELL,-46.98700000000099,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
475,BTCJPY,SELL,-25.51911118588354,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
476,BTCCNH,SELL,-263.59259327062796,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
477,USDCAD,SELL,-3.4222402840446167,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
478,EURGBP,SELL,-2.6347399999997103,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
479,GBPUSD,SELL,-8.500000000000174,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
480,ETHUSD,BUY,-4.530999999999994,TB_15M_1M,TB|15M_1M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
481,US500_x100,BUY,-183.00000000000182,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
482,US500,BUY,-1.8300000000000183,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
483,EURGBP,BUY,-7.77248299999973,FB_15M_1M,FB|15M_1M|BVRVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
484,JP225,BUY,0.07894243026210886,TB_4H_5M,TB|4H_5M|RT,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
485,NZDUSD,SELL,2.8999999999990145,FB_4H_5M,FB|4H_5M|BVRVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
486,GBPAUD,BUY,4.378583999999663,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
487,NZDJPY,SELL,-4.85301825381951,FB_4H_5M,FB|4H_5M|BVRVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
489,CADJPY,SELL,-6.147156454837739,FB_4H_5M,FB|4H_5M|BVRVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
491,ETHUSD,SELL,4.860999999999968,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
492,USDZAR,SELL,-26.42072816649737,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 20:44:00+00:00,2025-11-14 20:44:00+00:00
