Symbol,Strategy,Pair,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_%,Total_Profit_$,Gross_Profit_$,Gross_Loss_$,Profit_Factor,Avg_Profit_Per_Trade_$,Expectancy_$
CADJPY,TB_4H_5M,CADJPY_TB_4H_5M,4,1,3,25.0,-11.77665762927021,7.117760105600721,18.89441773487093,0.37671232876705224,-2.9441644073175524,-2.9441644073175524
CADCHF,FB_4H_5M,CADCHF_FB_4H_5M,1,0,1,0.0,-11.8380454631327,0.0,11.8380454631327,0.0,-11.8380454631327,-11.8380454631327
GBPNZD,FB_15M_1M,GBPNZD_FB_15M_1M,3,1,2,33.33333333333333,-11.984378000000325,9.996447999999909,21.980826000000235,0.4547803617570969,-3.994792666666775,-3.994792666666775
EURAUD,FB_4H_5M,EURAUD_FB_4H_5M,1,0,1,0.0,-12.22082400000025,0.0,12.22082400000025,0.0,-12.22082400000025,-12.22082400000025
EURNZD,FB_4H_5M,EURNZD_FB_4H_5M,3,1,2,33.33333333333333,-12.495559999993583,12.722752000002636,25.218311999996217,0.5045045045046848,-4.165186666664527,-4.165186666664527
GBPCAD,TB_4H_5M,GBPCAD_TB_4H_5M,1,0,1,0.0,-12.762104392589285,0.0,12.762104392589285,0.0,-12.762104392589285,-12.762104392589285
CHFJPY,TB_4H_5M,CHFJPY_TB_4H_5M,2,1,1,50.0,-13.782571840848327,9.317795047333458,23.100366888181785,0.40336134453779904,-6.891285920424163,-6.891285920424163
NZDCHF,TB_4H_5M,NZDCHF_TB_4H_5M,3,0,3,0.0,-14.230841886531325,0.0,14.230841886531325,0.0,-4.7436139621771085,-4.7436139621771085
AUDCHF,FB_4H_5M,AUDCHF_FB_4H_5M,1,0,1,0.0,-14.482715194258489,0.0,14.482715194258489,0.0,-14.482715194258489,-14.482715194258489
EURJPY,TB_15M_1M,EURJPY_TB_15M_1M,4,1,3,25.0,-14.494347851404537,11.517829989064357,26.012177840468894,0.44278606965178036,-3.6235869628511344,-3.6235869628511344
EURJPY,FB_4H_5M,EURJPY_FB_4H_5M,1,0,1,0.0,-14.753175491611309,0.0,14.753175491611309,0.0,-14.753175491611309,-14.753175491611309
PG,FB_15M_1M,PG_FB_15M_1M,3,0,3,0.0,-15.099999999999625,0.0,15.099999999999625,0.0,-5.033333333333208,-5.033333333333208
GBPJPY,TB_4H_5M,GBPJPY_TB_4H_5M,3,0,3,0.0,-15.723779142379808,0.0,15.723779142379808,0.0,-5.241259714126603,-5.241259714126603
PG,TB_15M_1M,PG_TB_15M_1M,2,0,2,0.0,-16.399999999999864,0.0,16.399999999999864,0.0,-8.199999999999932,-8.199999999999932
HD,FB_15M_1M,HD_FB_15M_1M,4,1,3,25.0,-16.89999999999941,5.199999999999818,22.099999999999227,0.23529411764705882,-4.224999999999852,-4.224999999999852
EURCAD,FB_15M_1M,EURCAD_FB_15M_1M,1,0,1,0.0,-16.968608075061486,0.0,16.968608075061486,0.0,-16.968608075061486,-16.968608075061486
ADBE,TB_15M_1M,ADBE_TB_15M_1M,1,0,1,0.0,-17.300000000000182,0.0,17.300000000000182,0.0,-17.300000000000182,-17.300000000000182
TMUS,TB_15M_1M,TMUS_TB_15M_1M,4,2,2,50.0,-18.300000000000693,4.699999999999704,23.000000000000398,0.20434782608694013,-4.575000000000173,-4.575000000000173
AAPL,TB_4H_5M,AAPL_TB_4H_5M,1,0,1,0.0,-18.40000000000032,0.0,18.40000000000032,0.0,-18.40000000000032,-18.40000000000032
EURJPY,FB_15M_1M,EURJPY_FB_15M_1M,4,0,4,0.0,-18.50617627456261,0.0,18.50617627456261,0.0,-4.626544068640652,-4.626544068640652
USDCAD,FB_4H_5M,USDCAD_FB_4H_5M,4,0,4,0.0,-18.89361823483886,0.0,18.89361823483886,0.0,-4.723404558709715,-4.723404558709715
EURNZD,TB_4H_5M,EURNZD_TB_4H_5M,3,0,3,0.0,-18.97053199999817,0.0,18.97053199999817,0.0,-6.323510666666056,-6.323510666666056
EURCHF,TB_4H_5M,EURCHF_TB_4H_5M,3,1,2,33.33333333333333,-19.64611800264474,6.296832693156048,25.94295069580079,0.24271844660196168,-6.54870600088158,-6.54870600088158
CHFJPY,FB_4H_5M,CHFJPY_FB_4H_5M,2,1,1,50.0,-20.447383576092253,9.964864147842114,30.412247723934367,0.3276595744680782,-10.223691788046127,-10.223691788046127
